year,area,dogs,cats
2018,ARGANZUELA,10622,4458
2018,BARAJAS,5203,1300
2018,CARABANCHEL,20265,5524
2018,CENTRO,15881,8186
2018,CHAMARTÍN,11417,3601
2018,CHAMBERÍ,13615,4087
2018,CIUDAD LINEAL,17375,7226
2018,FUENCARRAL-EL PARDO,17645,5558
2018,HORTALEZA,15965,7797
2018,LATINA,19282,7990
2018,MONCLOA-ARAVACA,12462,3453
2018,MORATALAZ,6831,2279
2018,PUENTE DE VALLECAS,23526,5138
2018,RETIRO,7955,2773
2018,SALAMANCA,13312,4520
2018,SAN BLAS,14202,4433
2018,TETUÁN,12478,4763
2018,USERA,12475,2419
2018,VICÁLVARO,5393,1279
2018,VILLA DE VALLECAS,9857,2467
2018,VILLAVERDE,12699,2307
