datetime,ind_600
2019-01-01T00:00:00.000+01:00,66.88
2019-01-01T01:00:00.000+01:00,66.88
2019-01-01T02:00:00.000+01:00,66.0
2019-01-01T03:00:00.000+01:00,63.64
2019-01-01T04:00:00.000+01:00,58.85
2019-01-01T05:00:00.000+01:00,55.47
2019-01-01T06:00:00.000+01:00,56.0
2019-01-01T07:00:00.000+01:00,61.09
2019-01-01T08:00:00.000+01:00,61.01
2019-01-01T09:00:00.000+01:00,61.0
2019-01-01T10:00:00.000+01:00,63.0
2019-01-01T11:00:00.000+01:00,63.0
2019-01-01T12:00:00.000+01:00,64.03
2019-01-01T13:00:00.000+01:00,65.88
2019-01-01T14:00:00.000+01:00,65.01
2019-01-01T15:00:00.000+01:00,60.84
2019-01-01T16:00:00.000+01:00,61.09
2019-01-01T17:00:00.000+01:00,63.08
2019-01-01T18:00:00.000+01:00,66.66
2019-01-01T19:00:00.000+01:00,67.06
2019-01-01T20:00:00.000+01:00,67.26
2019-01-01T21:00:00.000+01:00,68.07
2019-01-01T22:00:00.000+01:00,67.08
2019-01-01T23:00:00.000+01:00,64.03
2019-01-02T00:00:00.000+01:00,61.74
2019-01-02T01:00:00.000+01:00,53.0
2019-01-02T02:00:00.000+01:00,48.23
2019-01-02T03:00:00.000+01:00,47.23
2019-01-02T04:00:00.000+01:00,45.24
2019-01-02T05:00:00.000+01:00,45.7
2019-01-02T06:00:00.000+01:00,51.1
2019-01-02T07:00:00.000+01:00,58.37
2019-01-02T08:00:00.000+01:00,63.75
2019-01-02T09:00:00.000+01:00,66.1
2019-01-02T10:00:00.000+01:00,65.88
2019-01-02T11:00:00.000+01:00,63.63
2019-01-02T12:00:00.000+01:00,62.8
2019-01-02T13:00:00.000+01:00,63.16
2019-01-02T14:00:00.000+01:00,61.5
2019-01-02T15:00:00.000+01:00,60.69
2019-01-02T16:00:00.000+01:00,62.19
2019-01-02T17:00:00.000+01:00,67.1
2019-01-02T18:00:00.000+01:00,69.3
2019-01-02T19:00:00.000+01:00,69.25
2019-01-02T20:00:00.000+01:00,68.07
2019-01-02T21:00:00.000+01:00,68.01
2019-01-02T22:00:00.000+01:00,66.66
2019-01-02T23:00:00.000+01:00,64.28
2019-01-03T00:00:00.000+01:00,62.01
2019-01-03T01:00:00.000+01:00,54.85
2019-01-03T02:00:00.000+01:00,52.19
2019-01-03T03:00:00.000+01:00,50.21
2019-01-03T04:00:00.000+01:00,50.2
2019-01-03T05:00:00.000+01:00,52.19
2019-01-03T06:00:00.000+01:00,54.91
2019-01-03T07:00:00.000+01:00,66.58
2019-01-03T08:00:00.000+01:00,68.03
2019-01-03T09:00:00.000+01:00,69.12
2019-01-03T10:00:00.000+01:00,69.19
2019-01-03T11:00:00.000+01:00,68.01
2019-01-03T12:00:00.000+01:00,67.2
2019-01-03T13:00:00.000+01:00,66.7
2019-01-03T14:00:00.000+01:00,67.0
2019-01-03T15:00:00.000+01:00,68.01
2019-01-03T16:00:00.000+01:00,68.99
2019-01-03T17:00:00.000+01:00,70.0
2019-01-03T18:00:00.000+01:00,71.1
2019-01-03T19:00:00.000+01:00,70.55
2019-01-03T20:00:00.000+01:00,68.38
2019-01-03T21:00:00.000+01:00,67.83
2019-01-03T22:00:00.000+01:00,66.1
2019-01-03T23:00:00.000+01:00,66.88
2019-01-04T00:00:00.000+01:00,67.2
2019-01-04T01:00:00.000+01:00,63.75
2019-01-04T02:00:00.000+01:00,58.89
2019-01-04T03:00:00.000+01:00,54.94
2019-01-04T04:00:00.000+01:00,54.85
2019-01-04T05:00:00.000+01:00,58.0
2019-01-04T06:00:00.000+01:00,63.0
2019-01-04T07:00:00.000+01:00,68.4
2019-01-04T08:00:00.000+01:00,69.71
2019-01-04T09:00:00.000+01:00,71.06
2019-01-04T10:00:00.000+01:00,71.06
2019-01-04T11:00:00.000+01:00,70.16
2019-01-04T12:00:00.000+01:00,70.01
2019-01-04T13:00:00.000+01:00,69.17
2019-01-04T14:00:00.000+01:00,69.15
2019-01-04T15:00:00.000+01:00,68.4
2019-01-04T16:00:00.000+01:00,68.4
2019-01-04T17:00:00.000+01:00,69.15
2019-01-04T18:00:00.000+01:00,71.06
2019-01-04T19:00:00.000+01:00,71.94
2019-01-04T20:00:00.000+01:00,70.2
2019-01-04T21:00:00.000+01:00,68.71
2019-01-04T22:00:00.000+01:00,68.68
2019-01-04T23:00:00.000+01:00,68.17
2019-01-05T00:00:00.000+01:00,71.68
2019-01-05T01:00:00.000+01:00,69.5
2019-01-05T02:00:00.000+01:00,68.07
2019-01-05T03:00:00.000+01:00,66.0
2019-01-05T04:00:00.000+01:00,63.93
2019-01-05T05:00:00.000+01:00,62.0
2019-01-05T06:00:00.000+01:00,60.84
2019-01-05T07:00:00.000+01:00,62.92
2019-01-05T08:00:00.000+01:00,60.79
2019-01-05T09:00:00.000+01:00,66.92
2019-01-05T10:00:00.000+01:00,69.12
2019-01-05T11:00:00.000+01:00,68.25
2019-01-05T12:00:00.000+01:00,67.67
2019-01-05T13:00:00.000+01:00,64.0
2019-01-05T14:00:00.000+01:00,61.57
2019-01-05T15:00:00.000+01:00,59.4
2019-01-05T16:00:00.000+01:00,58.31
2019-01-05T17:00:00.000+01:00,67.2
2019-01-05T18:00:00.000+01:00,69.0
2019-01-05T19:00:00.000+01:00,68.71
2019-01-05T20:00:00.000+01:00,68.07
2019-01-05T21:00:00.000+01:00,65.38
2019-01-05T22:00:00.000+01:00,65.76
