year,area,dogs,cats
2014,ARGANZUELA,9595,1853
2014,BARAJAS,5233,659
2014,CARABANCHEL,17525,2360
2014,CENTRO,13285,3460
2014,CHAMARTÍN,12942,1793
2014,CHAMBERÍ,13869,1902
2014,CIUDAD LINEAL,17604,3042
2014,FUENCARRAL EL PARDO,18033,2790
2014,HORTALEZA,16476,4761
2014,LATINA,18106,2533
2014,MONCLOA-ARAVACA,12398,1548
2014,MORATALAZ,6706,1153
2014,PUENTE DE VALLECAS,22072,2065
2014,RETIRO,8774,1344
2014,SALAMANCA,12942,1793
2014,SAN BLAS,12786,2043
2014,TETUÁN,12301,2178
2014,USERA,11310,978
2014,VICÁLVARO,4584,505
2014,VILLA DE VALLECAS,7107,940
2014,VILLAVERDE,10467,851
