area_code,area,park_name,extension
1,CENTRO,PASEO DEL PRADO I,"3,53"
1,CENTRO,PASEO DE RECOLETOS I,"1,94"
1,CENTRO,JARDINES DE LAS VISTILLAS,"1,24"
1,CENTRO,PARQUE DE ATENAS,"4,66"
1,CENTRO,PARQUE DE LA DALIEDA DE S.FCO EL GRANDE,"0,43"
2,ARGANZUELA,PARQUE RAMIREZ DE PRADO,"2,09"
2,ARGANZUELA,PARQUE ENRIQUE TIERNO GALVÁN,"40,06"
2,ARGANZUELA,PARQUE DE DELICIAS,"2,69"
3,RETIRO,PARQUE DE ROMA,"11,21"
3,RETIRO,PLAZA DE MURILLO,"0,56"
3,RETIRO,JARDINES DEL MUSEO DEL PRADO,"1,29"
3,RETIRO,JARDINES PLAZA DE LA LEALTAD,"0,86"
4,SALAMANCA,PARQUE SANCHO DÁVILA,"4,3"
4,SALAMANCA,PLAZA DE LA INDEPENDENCIA-PUERTA DE ALCALÁ,"0,31"
4,SALAMANCA,PASEO DE LA CASTELLANA I,"2,16"
4,SALAMANCA,PARQUE DE MARÍA EVA DUARTE DE PERÓN,"2,97"
4,SALAMANCA,JARDINES DEL DESCUBRIMIENTO,"2,02"
4,SALAMANCA,BULEVAR DE JUAN BRAVO,"0,38"
4,SALAMANCA,PASEO DE RECOLETOS II,"0,51"
5,CHAMARTÍN,PASEO DE LA CASTELLANA II,"5,02"
5,CHAMARTÍN,JARDIN DE LAS BELLAS ARTES,"1,06"
5,CHAMARTÍN,JARDINES DE S. FERNANDO,"1,2"
5,CHAMARTÍN,PARQUE DE BERLÍN,"4,91"
6,TETUÁN,PASEO DE LA CASTELLANA III,"2,01"
6,TETUÁN,PARQUE HUERTA DEL OBISPO,"14,72"
6,TETUÁN,JARDINES DE PERÓN,"1,88"
6,TETUÁN,PARQUE AGUSTÍN RODRÍGUEZ SAHAGÚN,"18,5"
6,TETUÁN,PARQUE AVENIDA DE BRASIL,"0,54"
7,CHAMBERÍ,JARDINES DE ENRIQUE HERREROS,"0,67"
7,CHAMBERÍ,JARDINES DE RAIMUNDO FERNANDEZ VILLAVERDE,"0,56"
7,CHAMBERÍ,PASEO CASTELLANA IV,"2,53"
7,CHAMBERÍ,PLAZA DEL CONDE DELVALLE SUCHIL,"0,52"
7,CHAMBERÍ,PLAZA DE OLAVIDE,"0,57"
8,FUENCARRAL - EL PARDO,PARQUE DE LA ALCAZABA,"11,97"
8,FUENCARRAL - EL PARDO,PARQUE DEL PUEBLO DEL PARDO,"3,4"
8,FUENCARRAL - EL PARDO,PARQUE DE LA VAGUADA,"5,05"
8,FUENCARRAL - EL PARDO,PARQUE NORTE,"19,52"
9,MONCLOA-ARAVACA,PLAZA DE ESPAÑA,"2,24"
9,MONCLOA-ARAVACA,PARQUE DE LA BOMBILLA,"11,02"
10,LATINA,PARQUE CARAMUEL,"2,22"
10,LATINA,PARQUE DE ALUCHE-ARIAS NAVARRO,"14,32"
10,LATINA,PARQUE DE LAS CRUCES,"45,15"
10,LATINA,PARQUE DEL CERRO ALMODOVAR,"17,35"
11,CARABANCHEL,PARQUE DE SAN ISIDRO,"26,06"
12,USERA,PARQUE DE PRADOLONGO,"59,51"
12,USERA,PARQUE OLOF PALME,"4,48"
13,PUENTE DE VALLECAS,PARQUE LINEAL DE PALOMERAS,"39,55"
13,PUENTE DE VALLECAS,PARQUE DEL CERRO DEL TIO PÍO,"15,89"
13,PUENTE DE VALLECAS,PARQUE AZORÍN,"4,75"
13,PUENTE DE VALLECAS,PARQUE DE ENTREVÍAS,"12,12"
14,MORATALAZ,PARQUE MARTALA,"3,36"
14,MORATALAZ,PARQUE VANDEL,"3,06"
15,CIUDAD LINEAL,PINAR DE LA ELIPA,"14,47"
15,CIUDAD LINEAL,PARQUE EL CALERO,"6,8"
15,CIUDAD LINEAL,ARTURO SORIA,"6,75"
15,CIUDAD LINEAL,PARQUE DE ARRIAGA,"5,08"
16,HORTALEZA,PARQUE DE LOS LLANOS,"9,5"
16,HORTALEZA,PINAR DEL REY,"3,06"
16,HORTALEZA,PARQUE DE VILLAROSA,"4,96"
16,HORTALEZA,PINAR DE BARAJAS Z.F.,"20,92"
16,HORTALEZA,PARQUE ALFREDO KRAUS,"3,86"
17,VILLAVERDE,PARQUE DEHESA BOYAL,"12,68"
17,VILLAVERDE,PARQUE CIUDAD DE LOS ÁNGELES,"3,67"
18,VILLA DE VALLECAS,PASEO FEDERICO GARCÍA LORCA,"0,24"
18,VILLA DE VALLECAS,PARQUE VALLECAS VILLA-CATARATAS,"3,2"
18,VILLA DE VALLECAS,PARQUE SANTA EUGENIA,2
18,VILLA DE VALLECAS,PARQUE DEL PUEBLO DE VALLECAS,"0,72"
19,VICÁLVARO,Z.A. ANILLO VERDE DE VICÁLVARO,"1,24"
19,VICÁLVARO,Z.F. ANILLO VERDE DE VICÁLVARO,"31,31"
19,VICÁLVARO,CUÑA VERDE DE VICÁLVARO A+B+C+D+E,"31,2"
19,VICÁLVARO,BULEVAR JOSÉ PRAT,"3,93"
19,VICÁLVARO,PARQUE DE LA VICALVARADA,"4,87"
20,SAN BLAS - CANILLEJAS,PARQUE DE SAN BLAS-EL PARAISO,"15,44"
20,SAN BLAS - CANILLEJAS,PARQUE DE CANILLEJAS,"1,12"
20,SAN BLAS - CANILLEJAS,CIUDAD PEGASO,"5,19"
20,SAN BLAS - CANILLEJAS,CERRO DE LA MESA,"4,4"
20,SAN BLAS - CANILLEJAS,POLÍGONO DE LAS MERCEDES,"3,26"
21,BARAJAS,Z.F. LOS CORONALES,"5,67"
21,BARAJAS,PASEO ALAMEDA DE OSUNA-BIOSALUDABLE,"1,57"
21,BARAJAS,PLAZA DE LOS HERMANOS FALCÓ,"0,18"
