Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Customer Paid	Customer Currency	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2019-01-07	2018-11	Amazon	Mad People	Mad People		193537233314	1	100	Album		EUR	ES	0	6.116913361864
2019-02-19	2018-11	Google Play	Mad People	Mad People		193537233314	1	100	Album	0	EUR	ES	0	7.969990000000
2019-01-07	2018-08	Amazon Unlimited	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		1	100	Song		EUR	DE	0	0.009892248048
2019-09-18	2019-07	Amazon Unlimited	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		1	100	Song	0	EUR	es	0	0.003988028094
2018-07-03	2018-04	Apple Music	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		2	100	Song	0	EUR	ES	0	0.026497480560
2018-07-03	2018-04	Apple Music	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		2	100	Song	0	EUR	ES	0	0.009422938380
2018-11-22	2018-08	Apple Music	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		1	100	Song	0		ES	0	0.014351500800
2018-12-26	2018-10	Apple Music	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		1	100	Song	0		ES	0	0.014640150600
2018-12-26	2018-10	Apple Music	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		2	100	Song	0		US	0	0.011180000000
2019-05-07	2018-07	Deezer	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		1	100	Song	0	EUR	ES	0	0.000000000000
2018-07-18	2018-04	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		18	100	Song	0		ES	0	0.006225109380
2018-07-18	2018-04	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		3	100	Song	0		CZ	0	0.005181213970
2018-07-18	2018-04	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		1	100	Song	0		AR	0	0.002199636758
2018-07-18	2018-04	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		1	100	Song	0		SE	0	0.005850327382
2018-07-18	2018-04	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		34	100	Song	0		ES	0	0.192438783204
2018-07-18	2018-04	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		1	100	Song	0		HK	0	0.002006359131
2018-07-18	2018-04	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		4	100	Song	0		ES	0	0.025662755881
2018-07-18	2018-04	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		1	100	Song	0		AR	0	0.001106686112
2018-07-18	2018-04	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		1	100	Song	0		ES	0	0.002192769025
2018-07-18	2018-04	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		2	100	Song	0		MX	0	0.002417442004
2018-07-18	2018-04	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		2	100	Song	0		MX	0	0.005294041011
2018-07-18	2018-04	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		1	100	Song	0		ID	0	0.000137354659
2018-07-18	2018-04	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		1	100	Song	0		ES	0	0.000000000000
2018-07-18	2018-04	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		199	100	Song	0		ES	0	0.539998069785
2018-07-18	2018-04	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		1	100	Song	0		US	0	0.005291097697
2018-08-02	2018-05	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		1	100	Song	0		US	0	0.002017000000
2018-08-02	2018-05	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		3	100	Song	0		GB	0	0.021274000000
2018-08-02	2018-05	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		4	100	Song	0		ES	0	0.021902000000
2018-08-02	2018-05	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		10	100	Song	0		ES	0	0.003593000000
2018-08-02	2018-05	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		1	100	Song	0		ES	0	0.005912000000
2018-08-02	2018-05	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		31	100	Song	0		ES	0	0.081800000000
2018-08-19	2018-06	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		1	100	Song	0		US	0	0.002170000000
2018-08-19	2018-06	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		25	100	Song	0		ES	0	0.064000000000
2018-08-19	2018-06	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		1	100	Song	0		CZ	0	0.001149000000
2018-08-19	2018-06	Spotify	Mad People	You Don&#39;t Understand(single Version)	QM4DW1893898		1	100	Song	0		MY	0	0.002603000000
