datetime,power_demand,nuclear,gas,solar,hydro,coal,wind,spot_price
2019-01-01T00:00:00.000+01:00,23251.2,6059.2,2954.0,7.1,3202.8,1867.0,3830.3,66.88
2019-01-01T01:00:00.000+01:00,22485.0,6059.2,3044.1,8.0,2884.4,1618.0,3172.1,66.88
2019-01-01T02:00:00.000+01:00,20977.0,6059.2,3138.6,7.5,1950.8,1535.3,2980.5,66.0
2019-01-01T03:00:00.000+01:00,19754.2,6059.2,3596.2,7.5,1675.7,1344.0,2840.0,63.64
2019-01-01T04:00:00.000+01:00,19320.6,6063.4,3192.6,7.5,1581.8,1345.0,3253.4,58.85
2019-01-01T05:00:00.000+01:00,19262.3,6063.4,3167.9,7.5,1535.6,1377.5,3234.0,55.47
2019-01-01T06:00:00.000+01:00,19175.3,6063.4,3336.2,7.8,1514.3,1431.4,3101.7,56.0
2019-01-01T07:00:00.000+01:00,19708.1,6063.4,3372.7,14.6,1545.1,1357.0,2967.1,61.09
2019-01-01T08:00:00.000+01:00,19595.9,6063.4,3296.1,102.6,1597.2,1430.1,2933.3,61.01
2019-01-01T09:00:00.000+01:00,19858.8,6062.4,3505.9,788.0,1631.8,1413.0,2848.9,61.0
2019-01-01T10:00:00.000+01:00,21750.7,6066.4,3565.5,1843.3,1697.8,1365.2,2596.7,63.0
2019-01-01T11:00:00.000+01:00,23561.7,6067.4,4475.6,2557.2,1835.2,1483.7,1995.6,63.0
2019-01-01T12:00:00.000+01:00,23975.0,6067.4,4679.7,2905.5,2085.9,1629.1,1688.2,64.03
2019-01-01T13:00:00.000+01:00,24398.5,6067.4,4219.5,2968.5,2300.3,1642.5,1454.7,65.88
2019-01-01T14:00:00.000+01:00,24508.0,6067.4,4443.0,2792.3,2247.0,1641.1,1398.4,65.01
2019-01-01T15:00:00.000+01:00,22997.8,6067.4,3947.8,2322.9,2029.6,1532.4,1413.7,60.84
2019-01-01T16:00:00.000+01:00,22508.8,6067.4,3811.5,1434.6,2132.0,1425.8,1585.8,61.09
2019-01-01T17:00:00.000+01:00,23020.4,6068.4,4593.0,347.7,2780.7,1597.6,2093.0,63.08
2019-01-01T18:00:00.000+01:00,25457.3,6068.4,4869.3,15.2,3647.3,2053.8,2805.0,66.66
2019-01-01T19:00:00.000+01:00,27076.6,6068.4,4711.5,8.5,3951.1,2320.0,3499.4,67.06
2019-01-01T20:00:00.000+01:00,28113.7,6068.4,4486.8,8.4,4036.9,2310.2,4202.6,67.26
2019-01-01T21:00:00.000+01:00,28549.9,6068.4,4708.5,8.4,4083.5,2140.2,4799.4,68.07
2019-01-01T22:00:00.000+01:00,27563.7,6067.4,4400.0,7.9,3386.1,2062.8,5171.8,67.08
2019-01-01T23:00:00.000+01:00,25457.0,6066.4,4315.5,8.1,2620.1,1843.5,5692.6,64.03
2019-01-02T00:00:00.000+01:00,23131.1,6066.4,3337.4,,2019.7,1546.8,5879.9,61.74
2019-01-02T01:00:00.000+01:00,21003.4,6065.4,2131.9,,1522.9,1456.0,6324.4,53.0
2019-01-02T02:00:00.000+01:00,19936.9,6065.4,1989.7,,1472.0,1348.0,6832.9,48.23
2019-01-02T03:00:00.000+01:00,19592.5,6065.4,1896.5,,1458.1,1282.0,7204.9,47.23
2019-01-02T04:00:00.000+01:00,19421.4,6065.4,1819.7,,1467.4,1237.0,7355.8,45.24
2019-01-02T05:00:00.000+01:00,20268.5,6065.4,1862.6,,1455.9,1387.0,7433.3,45.7
2019-01-02T06:00:00.000+01:00,22702.7,6065.4,1904.0,0.9,1710.3,1519.4,8655.5,51.1
2019-01-02T07:00:00.000+01:00,26551.0,6065.4,3086.0,2.8,1751.8,1969.8,8938.4,58.37
2019-01-02T08:00:00.000+01:00,30014.8,6065.4,2951.0,86.4,2104.9,2465.0,9147.0,63.75
