date,year_subs_trips,temp_subs_trips
2014-06-23,17,79
2014-06-24,24,48
2014-06-25,105,14
2014-06-26,120,15
2014-06-27,131,18
2014-06-28,101,18
2014-06-29,107,33
2014-06-30,121,16
2014-07-01,124,6
2014-07-02,128,2
2014-07-03,85,7
2014-07-04,121,4
2014-07-05,783,3
2014-07-06,1230,5
2014-07-07,1324,3
2014-07-08,1774,6
2014-07-09,1874,8
2014-07-10,2266,7
2014-07-11,2212,2
2014-07-12,1949,4
2014-07-13,1792,2
2014-07-14,2311,3
2014-07-15,2537,2
2014-07-16,2673,7
2014-07-17,2651,8
2014-07-18,2547,5
2014-07-19,2359,2
2014-07-20,2371,2
2014-07-21,2676,3
2014-07-22,2935,4
2014-07-23,2927,5
2014-07-24,3204,9
2014-07-25,3084,2
2014-07-26,2467,0
2014-07-27,2321,0
2014-07-28,2894,4
2014-07-29,3168,3
2014-07-30,3236,5
2014-07-31,3365,5
2014-08-01,3048,6
2014-08-02,2533,1
2014-08-03,2624,0
2014-08-04,2813,4
2014-08-05,2830,6
2014-08-06,3054,6
2014-08-07,2967,5
2014-08-08,2907,9
2014-08-09,2582,0
2014-08-10,2687,1
2014-08-11,2900,2
2014-08-12,3008,3
2014-08-13,3102,9
2014-08-14,2791,3
2014-08-15,2392,0
2014-08-16,2254,0
2014-08-17,2444,3
2014-08-18,2945,5
2014-08-19,3155,5
2014-08-20,3358,0
2014-08-21,3678,4
2014-08-22,3419,0
2014-08-23,3158,0
2014-08-24,3421,1
2014-08-25,3556,3
2014-08-26,3992,1
2014-08-27,4008,2
2014-08-28,4125,6
2014-08-29,4255,5
2014-08-30,4002,1
2014-08-31,4323,0
2014-09-01,4292,7
2014-09-02,4608,8
2014-09-03,5163,8
2014-09-04,5334,5
2014-09-05,4957,1
2014-09-06,4791,1
2014-09-07,4724,1
2014-09-08,4917,3
2014-09-09,5209,6
2014-09-10,5297,0
2014-09-11,5246,7
2014-09-12,5339,1
2014-09-13,4827,0
2014-09-14,4978,1
2014-09-15,5022,7
2014-09-16,5021,2
2014-09-17,4739,1
2014-09-18,4319,1
2014-09-19,4858,1
2014-09-20,5028,2
